"citizen","decision","geo","time","values"
"1","Eritrea","Rejected","Belgium",2015-10-01,15
"2","Eritrea","Rejected","Switzerland",2015-10-01,1025
"3","Eritrea","Rejected","Germany (until 1990 former territory of the FRG)",2015-10-01,60
"4","Eritrea","Rejected","Greece",2015-10-01,10
"5","Eritrea","Rejected","Spain",2015-10-01,0
"6","Eritrea","Rejected","France",2015-10-01,195
"7","Eritrea","Rejected","Italy",2015-10-01,70
"8","Eritrea","Rejected","Netherlands",2015-10-01,25
"9","Eritrea","Rejected","Norway",2015-10-01,35
"10","Eritrea","Rejected","Sweden",2015-10-01,105
"11","Eritrea","Rejected","United Kingdom",2015-10-01,350
"12","Eritrea","Total","Belgium",2015-10-01,270
"13","Eritrea","Total","Switzerland",2015-10-01,2055
"14","Eritrea","Total","Germany (until 1990 former territory of the FRG)",2015-10-01,6095
"15","Eritrea","Total","Greece",2015-10-01,20
"16","Eritrea","Total","Spain",2015-10-01,0
"17","Eritrea","Total","France",2015-10-01,350
"18","Eritrea","Total","Italy",2015-10-01,180
"19","Eritrea","Total","Netherlands",2015-10-01,2890
"20","Eritrea","Total","Norway",2015-10-01,705
"21","Eritrea","Total","Sweden",2015-10-01,1855
"22","Eritrea","Total","United Kingdom",2015-10-01,665
"23","Eritrea","Total_positive_decisions","Belgium",2015-10-01,255
"24","Eritrea","Total_positive_decisions","Switzerland",2015-10-01,1035
"25","Eritrea","Total_positive_decisions","Germany (until 1990 former territory of the FRG)",2015-10-01,6035
"26","Eritrea","Total_positive_decisions","Greece",2015-10-01,15
"27","Eritrea","Total_positive_decisions","Spain",2015-10-01,0
"28","Eritrea","Total_positive_decisions","France",2015-10-01,155
"29","Eritrea","Total_positive_decisions","Italy",2015-10-01,110
"30","Eritrea","Total_positive_decisions","Netherlands",2015-10-01,2865
"31","Eritrea","Total_positive_decisions","Norway",2015-10-01,670
"32","Eritrea","Total_positive_decisions","Sweden",2015-10-01,1750
"33","Eritrea","Total_positive_decisions","United Kingdom",2015-10-01,320
"34","Eritrea","Rejected","Belgium",2015-07-01,20
"35","Eritrea","Rejected","Switzerland",2015-07-01,485
"36","Eritrea","Rejected","Germany (until 1990 former territory of the FRG)",2015-07-01,45
"37","Eritrea","Rejected","Greece",2015-07-01,5
"38","Eritrea","Rejected","Spain",2015-07-01,0
"39","Eritrea","Rejected","France",2015-07-01,0
"40","Eritrea","Rejected","Italy",2015-07-01,15
"41","Eritrea","Rejected","Netherlands",2015-07-01,30
"42","Eritrea","Rejected","Norway",2015-07-01,45
"43","Eritrea","Rejected","Sweden",2015-07-01,80
"44","Eritrea","Rejected","United Kingdom",2015-07-01,590
